x,y,z,pd
-12.500000,-4.500000,0.000000,0.780000
-12.500000,-4.000000,0.000000,0.520000
-12.500000,-3.500000,0.000000,0.520000
-12.500000,-3.000000,0.000000,0.520000
-12.500000,-2.500000,0.000000,1.040000
-12.500000,-2.000000,0.000000,0.520000
-12.500000,-1.500000,0.000000,1.040000
-12.500000,-1.000000,0.000000,0.260000
-12.000000,-7.000000,0.000000,0.260000
-12.000000,-6.500000,0.000000,2.080000
-12.000000,-6.000000,0.000000,2.599974
-12.000000,-5.500000,0.000000,2.588279
-12.000000,-5.000000,0.000000,3.344700
-12.000000,-4.500000,0.000000,3.843971
-12.000000,-4.000000,0.000000,3.910733
-12.000000,-3.500000,0.000000,3.401441
-12.000000,-3.000000,0.000000,3.700226
-12.000000,-2.500000,0.000000,3.303870
-12.000000,-2.000000,0.000000,3.024552
-12.000000,-1.500000,0.000000,2.496260
-12.000000,-1.000000,0.000000,2.498130
-12.000000,-0.500000,0.000000,3.079831
-12.000000,0.000000,0.000000,3.656153
-12.000000,0.500000,0.000000,3.447900
-12.000000,1.000000,0.000000,1.809132
-11.500000,-8.500000,0.000000,1.040000
-11.500000,-8.000000,0.000000,2.073352
-11.500000,-7.500000,0.000000,1.854127
-11.500000,-7.000000,0.000000,3.097875
-11.500000,-6.500000,0.000000,2.327450
-11.500000,-6.000000,0.000000,2.307351
-11.500000,-5.500000,0.000000,2.600751
-11.500000,-5.000000,0.000000,2.408521
-11.500000,-4.500000,0.000000,2.628212
-11.500000,-4.000000,0.000000,2.655816
-11.500000,-3.500000,0.000000,2.376142
-11.500000,-3.000000,0.000000,1.950028
-11.500000,-2.500000,0.000000,1.653038
-11.500000,-2.000000,0.000000,1.598775
-11.500000,-1.500000,0.000000,1.382700
-11.500000,-1.000000,0.000000,1.405140
-11.500000,-0.500000,0.000000,1.567992
-11.500000,0.000000,0.000000,2.557940
-11.500000,0.500000,0.000000,3.062100
-11.500000,1.000000,0.000000,3.816000
-11.500000,1.500000,0.000000,4.154316
-11.500000,2.000000,0.000000,2.859443
-11.500000,2.500000,0.000000,1.560000
-11.500000,3.000000,0.000000,0.260000
-11.000000,-9.500000,0.000000,1.040000
-11.000000,-9.000000,0.000000,2.853998
-11.000000,-8.500000,0.000000,2.709115
-11.000000,-8.000000,0.000000,1.849117
-11.000000,-7.500000,0.000000,1.641631
-11.000000,-7.000000,0.000000,1.539595
-11.000000,-6.500000,0.000000,1.468766
-11.000000,-6.000000,0.000000,1.634973
-11.000000,-5.500000,0.000000,1.829615
-11.000000,-5.000000,0.000000,1.709320
-11.000000,-4.500000,0.000000,2.185885
-11.000000,-4.000000,0.000000,2.208270
-11.000000,-3.500000,0.000000,1.582131
-11.000000,-3.000000,0.000000,1.423162
-11.000000,-2.500000,0.000000,1.422802
-11.000000,-2.000000,0.000000,1.318433
-11.000000,-1.500000,0.000000,1.157248
-11.000000,-1.000000,0.000000,1.260443
-11.000000,-0.500000,0.000000,1.786113
-11.000000,0.000000,0.000000,2.927677
-11.000000,0.500000,0.000000,2.779257
-11.000000,1.000000,0.000000,2.849110
-11.000000,1.500000,0.000000,3.322264
-11.000000,2.000000,0.000000,3.615958
-11.000000,2.500000,0.000000,4.030126
-11.000000,3.000000,0.000000,4.132668
-11.000000,3.500000,0.000000,3.887882
-11.000000,4.000000,0.000000,2.600000
-11.000000,4.500000,0.000000,1.040000
-10.500000,-10.500000,0.000000,0.260000
-10.500000,-10.000000,0.000000,2.472158
-10.500000,-9.500000,0.000000,2.826432
-10.500000,-9.000000,0.000000,1.821179
-10.500000,-8.500000,0.000000,1.346697
-10.500000,-8.000000,0.000000,1.311489
-10.500000,-7.500000,0.000000,1.377704
-10.500000,-7.000000,0.000000,1.417704
-10.500000,-6.500000,0.000000,1.670331
-10.500000,-6.000000,0.000000,2.098960
-10.500000,-5.500000,0.000000,1.909318
-10.500000,-5.000000,0.000000,1.723882
-10.500000,-4.500000,0.000000,2.517025
-10.500000,-4.000000,0.000000,1.724958
-10.500000,-3.500000,0.000000,1.354650
-10.500000,-3.000000,0.000000,1.469681
-10.500000,-2.500000,0.000000,1.260212
-10.500000,-2.000000,0.000000,1.180195
-10.500000,-1.500000,0.000000,1.212173
-10.500000,-1.000000,0.000000,2.011972
-10.500000,-0.500000,0.000000,2.572064
-10.500000,0.000000,0.000000,2.600649
-10.500000,0.500000,0.000000,2.784446
-10.500000,1.000000,0.000000,2.312600
-10.500000,1.500000,0.000000,2.463671
-10.500000,2.000000,0.000000,3.040495
-10.500000,2.500000,0.000000,3.078027
-10.500000,3.000000,0.000000,3.533864
-10.500000,3.500000,0.000000,4.103968
-10.500000,4.000000,0.000000,3.284588
-10.500000,4.500000,0.000000,3.802740
-10.500000,5.000000,0.000000,3.638938
-10.500000,5.500000,0.000000,2.080000
-10.500000,6.000000,0.000000,0.520000
-10.500000,6.500000,0.000000,1.040000
-10.500000,7.000000,0.000000,0.260000
-10.000000,-11.000000,0.000000,1.819971
-10.000000,-10.500000,0.000000,3.788931
-10.000000,-10.000000,0.000000,1.955161
-10.000000,-9.500000,0.000000,1.460985
-10.000000,-9.000000,0.000000,1.311634
-10.000000,-8.500000,0.000000,1.079977
-10.000000,-8.000000,0.000000,1.299365
-10.000000,-7.500000,0.000000,1.440171
-10.000000,-7.000000,0.000000,1.663286
-10.000000,-6.500000,0.000000,2.261669
-10.000000,-6.000000,0.000000,2.861234
-10.000000,-5.500000,0.000000,2.252167
-10.000000,-5.000000,0.000000,1.901701
-10.000000,-4.500000,0.000000,2.295101
-10.000000,-4.000000,0.000000,1.401616
-10.000000,-3.500000,0.000000,1.192068
-10.000000,-3.000000,0.000000,1.285313
-10.000000,-2.500000,0.000000,1.068873
-10.000000,-2.000000,0.000000,1.110233
-10.000000,-1.500000,0.000000,1.429663
-10.000000,-1.000000,0.000000,2.364719
-10.000000,-0.500000,0.000000,2.663068
-10.000000,0.000000,0.000000,2.139654
-10.000000,0.500000,0.000000,2.001641
-10.000000,1.000000,0.000000,2.461580
-10.000000,1.500000,0.000000,2.753459
-10.000000,2.000000,0.000000,2.329390
-10.000000,2.500000,0.000000,1.679640
-10.000000,3.000000,0.000000,1.692162
-10.000000,3.500000,0.000000,2.782507
-10.000000,4.000000,0.000000,1.581812
-10.000000,4.500000,0.000000,2.168560
-10.000000,5.000000,0.000000,3.785217
-10.000000,5.500000,0.000000,2.754985
-10.000000,6.000000,0.000000,2.948103
-10.000000,6.500000,0.000000,2.786294
-10.000000,7.000000,0.000000,3.177351
-10.000000,7.500000,0.000000,2.718619
-10.000000,8.000000,0.000000,0.520000
-9.500000,-12.000000,0.000000,0.520000
-9.500000,-11.500000,0.000000,2.848699
-9.500000,-11.000000,0.000000,2.515115
-9.500000,-10.500000,0.000000,2.924439
-9.500000,-10.000000,0.000000,1.547849
-9.500000,-9.500000,0.000000,0.961627
-9.500000,-9.000000,0.000000,1.169279
-9.500000,-8.500000,0.000000,1.162534
-9.500000,-8.000000,0.000000,1.357600
-9.500000,-7.500000,0.000000,1.724395
-9.500000,-7.000000,0.000000,2.058222
-9.500000,-6.500000,0.000000,1.661645
-9.500000,-6.000000,0.000000,2.682765
-9.500000,-5.500000,0.000000,2.414753
-9.500000,-5.000000,0.000000,1.813222
-9.500000,-4.500000,0.000000,2.072700
-9.500000,-4.000000,0.000000,1.259751
-9.500000,-3.500000,0.000000,1.017066
-9.500000,-3.000000,0.000000,1.060459
-9.500000,-2.500000,0.000000,1.009056
-9.500000,-2.000000,0.000000,1.370755
-9.500000,-1.500000,0.000000,2.179439
-9.500000,-1.000000,0.000000,1.980429
-9.500000,-0.500000,0.000000,1.593769
-9.500000,0.000000,0.000000,1.534533
-9.500000,0.500000,0.000000,1.928060
-9.500000,1.000000,0.000000,2.616815
-9.500000,1.500000,0.000000,3.362827
-9.500000,2.000000,0.000000,1.966555
-9.500000,2.500000,0.000000,1.339877
-9.500000,3.000000,0.000000,1.730340
-9.500000,3.500000,0.000000,2.940465
-9.500000,4.000000,0.000000,1.321610
-9.500000,4.500000,0.000000,2.022923
-9.500000,5.000000,0.000000,2.617737
-9.500000,5.500000,0.000000,1.487749
-9.500000,6.000000,0.000000,1.544844
-9.500000,6.500000,0.000000,1.482127
-9.500000,7.000000,0.000000,1.694309
-9.500000,7.500000,0.000000,3.436683
-9.500000,8.000000,0.000000,3.608478
-9.500000,8.500000,0.000000,2.827883
-9.500000,9.000000,0.000000,0.520000
-9.000000,-12.500000,0.000000,1.040000
-9.000000,-12.000000,0.000000,3.390985
-9.000000,-11.500000,0.000000,1.587723
-9.000000,-11.000000,0.000000,1.383943
-9.000000,-10.500000,0.000000,2.127593
-9.000000,-10.000000,0.000000,1.457951
-9.000000,-9.500000,0.000000,0.906674
-9.000000,-9.000000,0.000000,0.954288
-9.000000,-8.500000,0.000000,1.061524
-9.000000,-8.000000,0.000000,1.139730
-9.000000,-7.500000,0.000000,1.520048
-9.000000,-7.000000,0.000000,2.073861
-9.000000,-6.500000,0.000000,1.636633
-9.000000,-6.000000,0.000000,2.281167
-9.000000,-5.500000,0.000000,2.170020
-9.000000,-5.000000,0.000000,1.483967
-9.000000,-4.500000,0.000000,1.863815
-9.000000,-4.000000,0.000000,1.175265
-9.000000,-3.500000,0.000000,0.918823
-9.000000,-3.000000,0.000000,0.981120
-9.000000,-2.500000,0.000000,1.163938
-9.000000,-2.000000,0.000000,1.589134
-9.000000,-1.500000,0.000000,1.480478
-9.000000,-1.000000,0.000000,1.228677
-9.000000,-0.500000,0.000000,1.369713
-9.000000,0.000000,0.000000,1.609335
-9.000000,0.500000,0.000000,2.309473
-9.000000,1.000000,0.000000,2.831993
-9.000000,1.500000,0.000000,2.583483
-9.000000,2.000000,0.000000,1.451518
-9.000000,2.500000,0.000000,1.163724
-9.000000,3.000000,0.000000,2.254206
-9.000000,3.500000,0.000000,2.836127
-9.000000,4.000000,0.000000,1.255872
-9.000000,4.500000,0.000000,1.845066
-9.000000,5.000000,0.000000,2.859546
-9.000000,5.500000,0.000000,1.361369
-9.000000,6.000000,0.000000,0.961110
-9.000000,6.500000,0.000000,1.355413
-9.000000,7.000000,0.000000,1.786296
-9.000000,7.500000,0.000000,1.755794
-9.000000,8.000000,0.000000,1.594039
-9.000000,8.500000,0.000000,2.681731
-9.000000,9.000000,0.000000,3.232371
-9.000000,9.500000,0.000000,2.443954
-9.000000,10.000000,0.000000,1.040000
-8.500000,-13.000000,0.000000,1.040000
-8.500000,-12.500000,0.000000,3.196708
-8.500000,-12.000000,0.000000,1.560560
-8.500000,-11.500000,0.000000,1.044219
-8.500000,-11.000000,0.000000,1.238281
-8.500000,-10.500000,0.000000,2.109378
-8.500000,-10.000000,0.000000,1.512300
-8.500000,-9.500000,0.000000,1.132153
-8.500000,-9.000000,0.000000,0.979870
-8.500000,-8.500000,0.000000,0.952312
-8.500000,-8.000000,0.000000,0.884134
-8.500000,-7.500000,0.000000,1.251898
-8.500000,-7.000000,0.000000,1.711558
-8.500000,-6.500000,0.000000,1.942471
-8.500000,-6.000000,0.000000,2.107571
-8.500000,-5.500000,0.000000,1.693426
-8.500000,-5.000000,0.000000,1.395686
-8.500000,-4.500000,0.000000,1.618896
-8.500000,-4.000000,0.000000,1.099555
-8.500000,-3.500000,0.000000,0.884368
-8.500000,-3.000000,0.000000,1.076504
-8.500000,-2.500000,0.000000,1.269186
-8.500000,-2.000000,0.000000,1.196900
-8.500000,-1.500000,0.000000,1.133587
-8.500000,-1.000000,0.000000,1.462216
-8.500000,-0.500000,0.000000,2.095892
-8.500000,0.000000,0.000000,3.370338
-8.500000,0.500000,0.000000,2.957790
-8.500000,1.000000,0.000000,1.677525
-8.500000,1.500000,0.000000,1.444052
-8.500000,2.000000,0.000000,1.082895
-8.500000,2.500000,0.000000,1.074685
-8.500000,3.000000,0.000000,1.467694
-8.500000,3.500000,0.000000,1.344057
-8.500000,4.000000,0.000000,1.049910
-8.500000,4.500000,0.000000,1.657820
-8.500000,5.000000,0.000000,3.566336
-8.500000,5.500000,0.000000,1.691466
-8.500000,6.000000,0.000000,0.880009
-8.500000,6.500000,0.000000,1.355604
-8.500000,7.000000,0.000000,1.848113
-8.500000,7.500000,0.000000,1.341165
-8.500000,8.000000,0.000000,1.447703
-8.500000,8.500000,0.000000,1.831207
-8.500000,9.000000,0.000000,1.596098
-8.500000,9.500000,0.000000,1.750528
-8.500000,10.000000,0.000000,2.726997
-8.500000,10.500000,0.000000,2.996405
-8.500000,11.000000,0.000000,0.520000
-8.000000,-13.500000,0.000000,0.260000
-8.000000,-13.000000,0.000000,3.392120
-8.000000,-12.500000,0.000000,1.560361
-8.000000,-12.000000,0.000000,1.195131
-8.000000,-11.500000,0.000000,1.080358
-8.000000,-11.000000,0.000000,1.072886
-8.000000,-10.500000,0.000000,1.837566
-8.000000,-10.000000,0.000000,1.543604
-8.000000,-9.500000,0.000000,1.228682
-8.000000,-9.000000,0.000000,0.998771
-8.000000,-8.500000,0.000000,0.849289
-8.000000,-8.000000,0.000000,0.847128
-8.000000,-7.500000,0.000000,0.978418
-8.000000,-7.000000,0.000000,1.450667
